,player_name,total_points,position
169,Gary Trent,567.6000000000001,SG
169,Gary Trent,567.6000000000001,SF
170,Monte Morris,743.1,PG
170,Monte Morris,743.1,SG
171,Otto Porter,712.5,SF
171,Otto Porter,712.5,PF
172,Jeremy Lamb,718.3999999999999,SG
172,Jeremy Lamb,718.3999999999999,SF
173,James Johnson,702.0,PF
173,James Johnson,702.0,C
174,Eric Paschall,825.9,SF
174,Eric Paschall,825.9,PF
175,Trevor Ariza,629.4999999999999,SG
175,Trevor Ariza,629.4999999999999,SF
176,Luguentz Dort,681.1,SG
176,Luguentz Dort,681.1,SF
177,Langston Galloway,632.7,PG
177,Langston Galloway,632.7,SG
178,Thaddeus Young,696.2000000000002,PF
179,Jeff Teague,625.0999999999999,PG
179,Jeff Teague,625.0999999999999,SG
180,Anthony Edwards,725.5999999999999,SG
181,Cameron Johnson,632.8999999999999,SF
181,Cameron Johnson,632.8999999999999,PF
182,Kendrick Nunn,655.8,PG
182,Kendrick Nunn,655.8,SG
183,RJ Barrett,943.1,SG
183,RJ Barrett,943.1,SF
184,Derrick Favors,822.6000000000001,PF
184,Derrick Favors,822.6000000000001,C
185,Dario Saric,705.6000000000001,PF
185,Dario Saric,705.6000000000001,C
186,Danuel House,687.2000000000002,SF
186,Danuel House,687.2000000000002,PF
187,Tristan Thompson,937.5,PF
187,Tristan Thompson,937.5,C
188,Derrick Jones,737.0,SG
188,Derrick Jones,737.0,SF
189,Shake Milton,646.8000000000002,PG
189,Shake Milton,646.8000000000002,SG
190,JaMychal Green,721.6000000000001,PF
190,JaMychal Green,721.6000000000001,C
191,Jaxson Hayes,828.3000000000002,C
192,Kyle Kuzma,750.8999999999999,SF
192,Kyle Kuzma,750.8999999999999,PF
193,Deni Avdija,684.0000000000001,SG
193,Deni Avdija,684.0000000000001,SF
194,Cedi Osman,637.3,SF
194,Cedi Osman,637.3,PF
195,Mason Plumlee,901.2,PF
195,Mason Plumlee,901.2,C
196,George Hill,641.3000000000001,PG
196,George Hill,641.3000000000001,SG
197,Terence Davis,596.4000000000001,SG
197,Terence Davis,596.4000000000001,SF
198,Moritz Wagner,609.0999999999999,PF
198,Moritz Wagner,609.0999999999999,C
199,Michael Carter-Williams,582.8000000000001,PG
199,Michael Carter-Williams,582.8000000000001,SG
200,Isaac Okoro,660.7,SF
201,Onyeka Okongwu,568.1999999999999,PF
201,Onyeka Okongwu,568.1999999999999,C
202,Jalen Brunson,629.1999999999999,PG
202,Jalen Brunson,629.1999999999999,SG
203,Caris LeVert,728.6,SG
203,Caris LeVert,728.6,SF
204,James Ennis,678.5000000000001,SG
204,James Ennis,678.5000000000001,SF
205,Furkan Korkmaz,598.2,SG
206,Gorgui Dieng,609.5,PF
206,Gorgui Dieng,609.5,C
207,Anfernee Simons,570.0,PG
207,Anfernee Simons,570.0,SG
208,Josh Hart,685.1999999999999,SG
208,Josh Hart,685.1999999999999,SF
209,Kelly Olynyk,589.5,PF
209,Kelly Olynyk,589.5,C
210,Brad Wanamaker,481.5,PG
210,Brad Wanamaker,481.5,SG
211,Enes Kanter,714.5,C
212,Juancho Hernangomez,797.4,PF
212,Juancho Hernangomez,797.4,C
213,Jarrett Culver,716.1,PG
213,Jarrett Culver,716.1,SG
214,Alec Burks,612.5999999999999,SG
214,Alec Burks,612.5999999999999,SF
215,Andre Iguodala,532.7,SG
215,Andre Iguodala,532.7,SF
216,Daniel Gafford,634.9999999999999,C
217,Goga Bitadze,571.3000000000001,C
218,Patty Mills,521.4,PG
219,Rudy Gay,647.4,SF
219,Rudy Gay,647.4,PF
220,Marcus Morris,576.2,PF
220,Marcus Morris,576.2,C
221,Alex Caruso,576.0000000000001,PG
221,Alex Caruso,576.0000000000001,SG
222,Vincent Poirier,605.4,C
223,Goran Dragic,600.0,PG
223,Goran Dragic,600.0,SG
224,Josh Jackson,583.5,SG
224,Josh Jackson,583.5,SF
225,Bobby Portis,665.5000000000001,PF
225,Bobby Portis,665.5000000000001,C
226,Tyus Jones,590.2,PG
227,Cory Joseph,579.1999999999999,PG
228,T.J. McConnell,570.8000000000001,PG
228,T.J. McConnell,570.8000000000001,SG
229,Jakob Poeltl,617.6999999999999,C
230,Justise Winslow,691.2000000000002,PF
231,Chuma Okeke,570.1,PF
232,Chris Boucher,586.8999999999999,PF
232,Chris Boucher,586.8999999999999,C
233,De'Andre Hunter,586.1000000000001,SF
233,De'Andre Hunter,586.1000000000001,PF
234,Doug McDermott,558.4999999999999,SF
234,Doug McDermott,558.4999999999999,PF
235,Jae Crowder,595.1999999999999,SF
235,Jae Crowder,595.1999999999999,PF
236,Jabari Parker,548.5,SF
236,Jabari Parker,548.5,PF
237,Rodney Hood,512.0,SG
237,Rodney Hood,512.0,SF
238,Grayson Allen,505.20000000000005,SG
238,Grayson Allen,505.20000000000005,SF
239,Patrick Williams,475.19999999999993,SF
240,Luke Kennard,506.5,SG
240,Luke Kennard,506.5,SF
241,Nicolo Melli,521.3999999999999,PF
241,Nicolo Melli,521.3999999999999,C
242,Kentavious Caldwell-Pope,517.8000000000002,PG
242,Kentavious Caldwell-Pope,517.8000000000002,SG
243,Pat Connaughton,538.1999999999999,SG
243,Pat Connaughton,538.1999999999999,SF
244,Zach Collins,535.9,PF
244,Zach Collins,535.9,C
245,Moe Harkless,500.40000000000003,SF
245,Moe Harkless,500.40000000000003,PF
246,Lonnie Walker,542.5,SG
246,Lonnie Walker,542.5,SF
247,Avery Bradley,467.4000000000001,SG
